50, 0
100, 20
150, 5
200, 3
250, 0
300, 13
350, 7
400, 5
450, 9
500, 9
550, 6
600, 2
650, 5
700, 5
750, 6
800, 10
850, 18
900, 0
950, 5
1000, 11
1050, 14
1100, 6
1150, 11
1200, 6
1250, 12
1300, 10
1350, 6
1400, 18
1450, 15
1500, 21
1550, 12
1600, 7
1650, 17
1700, 10
1750, 16
1800, 0
1850, 5
1900, 7
1950, 11
2000, 17
2050, 2
2100, 1
2150, 6
2200, 20
2250, 21
2300, 17
2350, 2
2400, 22
2450, 20
2500, 13
2550, 2
2600, 15
2650, 21
2700, 20
2750, 8
2800, 24
2850, 7
2900, 10
2950, 1
3000, 19
3050, 19
3100, 26
3150, 8
3200, 5
3250, 1
3300, 31
3350, 31
3400, 3
3450, 18
3500, 36
3550, 36
3600, 50
3650, 13
3700, 12
3750, 30
3800, 17
3850, 6
3900, 21
3950, 32
4000, 27
4050, 18
4100, 9
4150, 24
4200, 19
4250, 17
4300, 6
4350, 0
4400, 21
4450, 12
4500, 13
4550, 24
4600, 5
4650, 25
4700, 4
4750, 24
4800, 29
4850, 25
4900, 11
4950, 17
5000, 24
5050, 13
5100, 3
5150, 2
5200, 7
5250, 7
5300, 21
5350, 16
5400, 7
5450, 17
5500, 17
5550, 26
5600, 11
5650, 2
5700, 23
5750, 6
5800, 23
5850, 20
5900, 18
5950, 16
6000, 4
6050, 19
6100, 18
6150, 21
6200, 13
6250, 16
6300, 12
6350, 25
6400, 17
6450, 9
6500, 21
6550, 26
6600, 4
6650, 9
6700, 16
6750, 16
6800, 0
6850, 5
6900, 0
6950, 7
7000, 3
7050, 12
7100, 8
7150, 29
7200, 0
7250, 4
7300, 14
7350, 5
7400, 13
7450, 20
7500, 24
7550, 0
7600, 13
7650, 12
7700, 17
7750, 6
7800, 11
7850, 12
7900, 1
7950, 5
8000, 33
8050, 12
8100, 5
8150, 24
8200, 8
8250, 10
8300, 33
8350, 12
8400, 26
8450, 15
8500, 10
8550, 34
8600, 33
8650, 0
8700, 5
8750, 14
8800, 20
8850, 29
8900, 15
8950, 18
9000, 30
9050, 5
9100, 13
9150, 31
9200, 31
9250, 19
9300, 21
9350, 10
9400, 4
9450, 25
9500, 11
9550, 0
9600, 27
9650, 3
9700, 5
9750, 24
9800, 5
9850, 3
9900, 3
9950, 16
